sample_id,year,special,channel,coder,coder_id,news_unanimous,news_majority,news_coded,geography_unanimous,geography_majority,geography_coded
645398,1968,FALSE,CBS,1,45348963,NA,soft,hard,NA,national,national
645398,1968,FALSE,CBS,2,45180724,NA,soft,soft,NA,national,national
645398,1968,FALSE,CBS,3,44944563,NA,soft,soft,NA,national,local
39,1968,TRUE,CBS,1,45183934,hard,hard,hard,national,national,national
39,1968,TRUE,CBS,2,45547205,hard,hard,hard,national,national,national
39,1968,TRUE,CBS,3,45348963,hard,hard,hard,national,national,national
123,1968,TRUE,NBC,1,45348963,hard,hard,hard,national,national,national
123,1968,TRUE,NBC,2,44975113,hard,hard,hard,national,national,national
123,1968,TRUE,NBC,3,45204515,hard,hard,hard,national,national,national
38,1968,TRUE,CBS,1,44975113,hard,hard,hard,national,national,national
38,1968,TRUE,CBS,2,43879440,hard,hard,hard,national,national,national
38,1968,TRUE,CBS,3,33359860,hard,hard,hard,national,national,national
128,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
128,1968,TRUE,CBS,2,45180724,hard,hard,hard,national,national,national
128,1968,TRUE,CBS,3,44944563,hard,hard,hard,national,national,national
18492,1968,FALSE,NBC,1,45348963,hard,hard,hard,NA,international,national
18492,1968,FALSE,NBC,2,45180724,hard,hard,hard,NA,international,international
18492,1968,FALSE,NBC,3,44944563,hard,hard,hard,NA,international,international
645788,1968,FALSE,ABC,1,43879440,NA,hard,hard,international,international,international
645788,1968,FALSE,ABC,2,36985538,NA,hard,soft,international,international,international
645788,1968,FALSE,ABC,3,33256761,NA,hard,hard,international,international,international
32,1968,TRUE,CBS,1,45126470,hard,hard,hard,national,national,national
32,1968,TRUE,CBS,2,45544038,hard,hard,hard,national,national,national
32,1968,TRUE,CBS,3,45369365,hard,hard,hard,national,national,national
642903,1968,TRUE,ABC,1,33359860,hard,hard,hard,national,national,national
642903,1968,TRUE,ABC,2,45156664,hard,hard,hard,national,national,national
642903,1968,TRUE,ABC,3,45183934,hard,hard,hard,national,national,national
653368,1968,FALSE,CBS,1,43879440,soft,soft,soft,national,national,national
653368,1968,FALSE,CBS,2,36985538,soft,soft,soft,national,national,national
653368,1968,FALSE,CBS,3,33256761,soft,soft,soft,national,national,national
654317,1968,FALSE,ABC,1,45126470,hard,hard,hard,NA,international,international
654317,1968,FALSE,ABC,2,45544038,hard,hard,hard,NA,international,local
654317,1968,FALSE,ABC,3,45598929,hard,hard,hard,NA,international,international
138,1968,TRUE,CBS,1,45183934,hard,hard,hard,national,national,national
138,1968,TRUE,CBS,2,45158697,hard,hard,hard,national,national,national
138,1968,TRUE,CBS,3,45178046,hard,hard,hard,national,national,national
85,1968,TRUE,CBS,1,45183934,NA,hard,soft,national,national,national
85,1968,TRUE,CBS,2,45158697,NA,hard,hard,national,national,national
85,1968,TRUE,CBS,3,45178046,NA,hard,hard,national,national,national
661374,1968,FALSE,NBC,1,44975113,hard,hard,hard,NA,international,national
661374,1968,FALSE,NBC,2,45706904,hard,hard,hard,NA,international,international
661374,1968,FALSE,NBC,3,45710586,hard,hard,hard,NA,international,international
662470,1968,FALSE,ABC,1,45348963,hard,hard,hard,national,national,national
662470,1968,FALSE,ABC,2,44975113,hard,hard,hard,national,national,national
662470,1968,FALSE,ABC,3,45204515,hard,hard,hard,national,national,national
2,1968,TRUE,NBC,1,45348963,hard,hard,hard,national,national,national
2,1968,TRUE,NBC,2,45544038,hard,hard,hard,national,national,national
2,1968,TRUE,NBC,3,45567834,hard,hard,hard,national,national,national
513495,1968,FALSE,ABC,1,33359860,hard,hard,hard,national,national,national
513495,1968,FALSE,ABC,2,45156664,hard,hard,hard,national,national,national
513495,1968,FALSE,ABC,3,45183934,hard,hard,hard,national,national,national
661286,1968,FALSE,ABC,1,44975113,hard,hard,hard,international,international,international
661286,1968,FALSE,ABC,2,43879440,hard,hard,hard,international,international,international
661286,1968,FALSE,ABC,3,33359860,hard,hard,hard,international,international,international
122,1968,TRUE,NBC,1,44975113,hard,hard,hard,national,national,national
122,1968,TRUE,NBC,2,43879440,hard,hard,hard,national,national,national
122,1968,TRUE,NBC,3,33359860,hard,hard,hard,national,national,national
93,1968,TRUE,NBC,1,44975113,hard,hard,hard,national,national,national
93,1968,TRUE,NBC,2,45450817,hard,hard,hard,national,national,national
93,1968,TRUE,NBC,3,45590294,hard,hard,hard,national,national,national
46,1968,TRUE,NBC,1,45183934,hard,hard,hard,national,national,national
46,1968,TRUE,NBC,2,45158697,hard,hard,hard,national,national,national
46,1968,TRUE,NBC,3,45178046,hard,hard,hard,national,national,national
662342,1968,FALSE,NBC,1,45126470,hard,hard,hard,NA,national,local
662342,1968,FALSE,NBC,2,45544038,hard,hard,hard,NA,national,national
662342,1968,FALSE,NBC,3,45598929,hard,hard,hard,NA,national,national
45,1968,TRUE,NBC,1,45348963,hard,hard,hard,national,national,national
45,1968,TRUE,NBC,2,45544038,hard,hard,hard,national,national,national
45,1968,TRUE,NBC,3,45567834,hard,hard,hard,national,national,national
646374,1968,FALSE,ABC,1,45183934,NA,hard,soft,NA,international,international
646374,1968,FALSE,ABC,2,45547205,NA,hard,hard,NA,international,international
646374,1968,FALSE,ABC,3,45348963,NA,hard,hard,NA,international,national
643446,1968,FALSE,NBC,1,44975113,hard,hard,hard,NA,national,national
643446,1968,FALSE,NBC,2,45653549,hard,hard,hard,NA,national,international
643446,1968,FALSE,NBC,3,45558473,hard,hard,hard,NA,national,national
